source,secondary_field,tertiary_field
1password,event_type,
apigateway,status_family,
appsync,event_type,error_type
aws-alb-ingress-controller,event_type,
azure.activedirectory,event_type,category
azure.activitylogs,category,
azure.compute,operation,
azure.containerservice,event_type,log_type
azure.dbforpostgresql,event_type,
azure.iot_edge,event_type,
azure.network,action,log_type
azure.recoveryservices,event_type,
azure.sql,log_type,event_type
azure.storage,operation,
azure.web,status,event_type
barracuda_cloudgen_logs,action,event_type
barracuda_secure_edge,action,log_type
beyondtrust-password-safe,event_type,
bind9,rcode,
bitdefender,event_type,
boundary,event_type,
box,event_type,
calico,action,log_type
carbon-black-cloud,event_type,
cassandra,event_type,
cato-networks,action,event_type
cequence,event_type,action
checkpoint-quantum-firewall,action,event_type
cisco-asa,action,event_type
cisco-duo,event_type,
cisco-secure-client,event_type,
cisco-secure-firewall,action,event_type
cisco-secure-web-appliance,action,
cisco-umbrella-dns,action,event_type
citrix_hypervisor,event_type,
cloud-workload-security,event_type,
cloudfront,status,action
cloudhsm,event_type,
cloudtrail,eventName,eventCategory
coredns,rcode,
couchdb,event_type,
crest_data_systems_automox,event_type,
crest_data_systems_barracuda_waf,event_type,action
crest_data_systems_cisco_ise,event_type,
crest_data_systems_citrix_cloud,event_type,
crest_data_systems_cyberark_identity,event_type,
crest_data_systems_cyberark_pam,event_type,
crest_data_systems_dropbox,event_type,
crest_data_systems_fortigate,action,event_type
crest_data_systems_ibm_security_verify,event_type,
crest_data_systems_illumio,action,
crest_data_systems_manageengine_adaudit_plus,event_type,
crest_data_systems_opnsense,action,event_type
crest_data_systems_pfsense,action,
crest_data_systems_sybase,event_type,
crest_data_systems_zia,action,
crest_data_systems_zpa,decision,
crowdstrike,event_simpleName,
delinea-privilege-manager,event_type,
delinea-secret-server,event_type,
docdb,event_type,
dotnet,event_type,
druid,event_type,
dynamodb,error_type,
elasticsearch,event_type,
elb,elb_status_code,elb_status_code_family
envoy,response_code,
eset-protect,event_type,
etcd,event_type,
exchange-server,event_type,
extrahop,event_type,
f5xc,action,event_type
fail2ban,event_type,
falco,event_type,
fastly,status,action
fauna,event_type,
fluxcd,event_type,
forcepoint-secure-web-gateway,action,
forcepoint-security-service-edge,event_type,
fortinet-fortimanager,event_type,
gcp.audit,logName,
gcp.cloudsql.database,event_type,
gcp.gae.app,event_type,
gcp.gce.firewall.rule,action,
gcp.gce.instance,event_type,
gigamon,event_type,
github.audit.streaming,event_type,
gitlab-audit-events,event_type,
gitlab,event_type,
gravitee,status,event_type
greenhouse,event_type,
gsuite,event_type,
guardduty,event_type,
gunicorn,status,
haproxy,status,
harbor,event_type,
hazelcast,event_type,
hbase,event_type,
hcp-terraform,event_type,
hdfs_namenode,event_type,
heroku,event_type,
hive,event_type,
hivemq,event_type,
hubspot-content-hub,event_type,
ibm_ace,event_type,
ibm_db2,event_type,
ibm_mq,event_type,
ibm_was,event_type,
iboss,action,event_type
iis,sc_status,
imperva,event_type,action
ios,event_type,
istio,response_code,
ivanti-connect-secure,event_type,
jamf-pro,event_type,
jboss_wildfly,event_type,
jfrog_artifactory,event_type,
jfrog_platform,event_type,
jira-audit-records,event_type,
jumpcloud,event_type,
juniper-srx-firewall,action,event_type
kafka,event_type,
kandji,event_type,
keeper,event_type,
keycloak,event_type,
kong,status,
krakend,status,
kubernetes.audit,verb,
kyverno,action,
lacework,event_type,
lambda,error_type,event_type
lastpass,event_type,
lighttpd,status,
linux-audit-logs,audit.type,
mac-audit-logs,event_type,
meraki,action,
mongodb,event_type,
mysql,event_type,
netskope,action,
nginx,status,
oci.dataflow,event_type,
oci.dataintegration,event_type,
oci.datascience,event_type,
oci.delegateaccesscontrol,event_type,
oci.devops,event_type,
oci.functions,event_type,
oci.goldengate,event_type,
oci.keymanagementservice,event_type,
oci.kubernetes,verb,
oci.loadbalancer,status,
oci.networkfirewall,action,event_type
oci.objectstorage,operation,
oci.opctl,event_type,
oci.postgresql,event_type,
oci.vcn,flow_direction,
oci.vpn,event_type,
octopus_deploy,event_type,
okta-workflows,event_type,
onelogin,event_type,
openldap,event_type,
openstack,event_type,
openvpn,event_type,
oracle-fusion,event_type,
ossec,event_type,
palo-alto-cortex-xdr,event_type,
palo-alto-panorama,event_type,
pan.firewall,sub_type,
panos,sub_type,
perimeterx,action,
pgbouncer,event_type,
ping-federate,event_type,
ping-one,event_type,
postfix,event_type,
postgresql,event_type,
powerdns,rcode,
presto,event_type,
rapdev_redhat_satellite,event_type,
rapdev-glassfish,event_type,
ray,event_type,
react-native,event_type,
recorded-future,event_type,
redis,event_type,
redshift,event_type,
reflectiz,event_type,
resend,event_type,
rethinkdb,event_type,
riak,event_type,
ringcentral,event_type,
route53,rcode,
runtime-security-agent,event_type,
s3,status,http_method
salesforce,event_type,
securityhub,event_type,
sentinelone,activity_type,
sns,event_type,
sonicwall-firewall,action,event_type
sshd,event,
stepfunction,event_type,
sudo,event_type,
suricata,event_type,
temporal,event_type,
tenable,event_type,
terraform-cloud,event_type,
tibco_ems,event_type,
tomcat,status,event_type
torchserve,event_type,
traefik,status,
transitgateway,flow_direction,
trellix-endpoint-security,event_type,
twilio,event_type,
twingate,event_type,decision
twistlock,event_type,
typingdna,event_type,
UFW,action,
uwsgi,status,
vault,type,
verified-access,decision,
vpc,flow_direction,
waf,action,
watchguard-firebox,action,event_type
wazuh,rule_group,
windows.events,winlog.event_id,
windows,winlog.event_id,winlog.channel
zeek,log_type,
zscaler,action,
