lookup_key,category,m2131_el,max_tier_possible,domain,notes
1password|event_type|audit_event,privileged_access,el2,el2,identity,Admin/audit activity mapping (validate exact event type field in your tenant) :contentReference[oaicite:3]{index=3}
1password|event_type|item_usage,authorization,el2,el2,identity,Credential/item usage supports deeper investigative context :contentReference[oaicite:2]{index=2}
1password|event_type|sign_in_attempt,authentication,el1,el2,identity,Sign-in attempts (success/failure) are EL1 auth coverage :contentReference[oaicite:1]{index=1}
abnormal-security|event_type|case_log,security_telemetry,el2,el2,security,Case logs (often account takeover context) :contentReference[oaicite:5]{index=5}
abnormal-security|event_type|threat_log,security_telemetry,el2,el2,security,Threat logs indicate malicious activity :contentReference[oaicite:4]{index=4}
apigateway|status|401,authentication_failure,el1,el2,cloud,Unauthorized API calls
apigateway|status|403,authorization_failure,el1,el2,cloud,Forbidden API calls
apigateway|status_family|5xx,application_activity,el1,el2,cloud,Service errors (ops/investigation context)
appsync|event_type|resolver_error,application_activity,el1,el2,cloud,Resolver failures
appsync|error_type|UnauthorizedException,authentication_failure,el1,el2,cloud,Auth failures
aws-alb-ingress-controller|event_type|reconcile,cloud_configuration,el2,el2,cloud,Controller reconciliation activity (if emitted)
azure.activedirectory|category|auditLogs,account_management,el1,el3,identity,Directory/audit events
azure.activedirectory|event_type|roleChange,privileged_access,el3,el3,identity,Admin role changes (if present)
azure.activedirectory|category|signInLogs,authentication,el1,el3,identity,Sign-in logs
azure.activitylogs|category|Administrative,cloud_api_activity,el2,el3,cloud,Resource changes
azure.activitylogs|category|Security,security_telemetry,el3,el3,cloud,Security alerts
azure.compute|operation|Delete,cloud_api_activity,el2,el3,cloud,Resource delete operations
azure.compute|operation|Write,cloud_api_activity,el2,el3,cloud,Resource write operations
azure.containerservice|event_type|cluster_admin,privileged_access,el3,el3,cloud,Admin/control-plane changes (validate event field names)
azure.containerservice|log_type|kube_audit,privileged_access,el3,el3,cloud,Kubernetes API audit events when enabled
azure.dbforpostgresql|event_type|connection,authentication,el1,el2,cloud,Login/connection events
azure.dbforpostgresql|event_type|ddl,privileged_access,el2,el3,cloud,Schema/admin changes if audited
azure.iot_edge|event_type|auth,authentication,el1,el2,endpoint,Device/module authentication events
azure.network|action|deny,network_activity,el2,el2,network,Denied traffic (if field exists)
azure.network|log_type|flow,network_activity,el2,el2,network,NSG/flow-style records when present
azure.recoveryservices|event_type|vault_change,privileged_access,el2,el2,cloud,Vault/admin configuration change events
azure.sql|event_type|admin,privileged_access,el2,el3,cloud,Admin/config changes (if audited)
azure.sql|log_type|audit,cloud_data_access,el3,el3,cloud,SQL auditing events (query/access)
azure.sql|event_type|login,authentication,el1,el2,cloud,Login events (if emitted)
azure.storage|operation|Delete,cloud_data_access,el2,el3,cloud,Delete operations
azure.storage|operation|Read,cloud_data_access,el2,el3,cloud,Read operations
azure.storage|operation|Write,cloud_data_access,el2,el3,cloud,Write operations
azure.web|status|401,authentication_failure,el1,el2,cloud,Unauthorized requests
azure.web|status|403,authorization_failure,el1,el2,cloud,Forbidden requests
azure.web|event_type|admin,privileged_access,el2,el2,cloud,Administrative changes (if available)
barracuda_cloudgen_logs|action|deny,network_activity,el2,el3,network,Blocked sessions
barracuda_cloudgen_logs|event_type|threat,ids_ips,el3,el3,network,Threat/IPS events (if enabled)
barracuda_secure_edge|action|blocked,web_security,el2,el3,network,Blocked web traffic
barracuda_secure_edge|log_type|dns,dns_activity,el2,el3,network,DNS telemetry if included (validate fields)
beyondtrust-password-safe|event_type|admin_change,privileged_access,el3,el3,identity,Admin changes/audit events
beyondtrust-password-safe|event_type|checkout,authorization,el2,el3,identity,Credential checkout/use
bind9|rcode|NOERROR,dns_activity,el2,el2,dns,Successful resolution
bind9|rcode|NXDOMAIN,dns_activity,el2,el2,dns,Non-existent domain responses
bitdefender|event_type|detection,security_telemetry,el3,el3,endpoint,Malware/EDR detection events
bitwarden|event_type|admin_action,privileged_access,el3,el3,identity,Admin changes/audit
bitwarden|event_type|login,authentication,el1,el3,identity,User login events
bitwarden|event_type|vault_access,authorization,el2,el3,identity,Vault item access
boundary|event_type|admin_action,privileged_access,el3,el3,identity,Admin configuration changes
boundary|event_type|session_end,authorization,el2,el3,identity,Session end
boundary|event_type|session_start,authorization,el2,el3,identity,Session start/access granted
box|event_type|file_access,cloud_data_access,el2,el2,identity,File access activity (investigative context)
box|event_type|login,authentication,el1,el2,identity,User login events
calico|action|deny,authorization,el2,el3,network,Denied network policy traffic
calico|log_type|flow,network_activity,el2,el3,network,Network flow telemetry
carbon-black-cloud|event_type|alert,security_telemetry,el3,el3,endpoint,Detection alerts
carbon-black-cloud|event_type|process,endpoint_activity,el3,el3,endpoint,Process execution telemetry
cassandra|event_type|auth,authentication,el1,el2,application,Authentication events
cassandra|event_type|ddl,privileged_access,el2,el2,application,Schema/admin changes if audited
cato-networks|action|blocked,network_activity,el2,el3,network,Blocked sessions
cato-networks|event_type|threat,ids_ips,el3,el3,network,Threat detection events
cequence|event_type|alert,ids_ips,el3,el3,security,Security alerts
cequence|action|blocked,web_security,el2,el3,security,Blocked API attacks
