source,category,m2131_el,max_tier_possible,domain,notes
1password,authentication,el1,el2,identity,Default: treat as identity/security audit unless more specific event typing is available
abnormal-security,security_telemetry,el2,el2,security,Default: email threat/security telemetry
activemq,application_activity,el0,el1,application,Middleware operational logs; promote tier if authz/audit events are present
admission-webhook,authorization,el2,el3,cloud,Kubernetes admission decisions
adobe.experience.manager,web_access,el1,el2,application,Web/app access logs; add discriminator for admin actions if available
adyen,application_activity,el1,el2,application,Payment platform events; map admin/authn events separately when fields are known
aerospike,application_activity,el0,el1,application,Database operational logs; tier increases only if access/audit events are logged
agent,application_activity,el0,el1,platform,Datadog Agent operational logs
aimon,application_activity,el0,el1,application,Monitoring/ops telemetry; not typically an OMB-required category by itself
airflow,application_activity,el0,el1,application,Workflow/orchestration operational logs; add user/auth events if present
akamai,web_access,el1,el2,network,CDN/access telemetry; refine by product/event fields if present
akamai-application-security,web_security,el2,el3,security,Application security events (WAF/bot/DDoS indicators)
akamai-eaa,authentication,el1,el2,identity,Zero Trust access proxy events; refine by action/outcome fields
akamai-security-events,web_security,el2,el3,security,Application security events (WAF/bot/DDoS indicators)
akamai-sia,web_access,el2,el2,network,Secure Internet Access proxy/DNS-like telemetry (confirm whether DNS events are included)
akamai.datastream,web_access,el1,el2,network,DataStream-delivered access/security logs; add secondary field once known
alcide,security_telemetry,el2,el2,security,Kubernetes security posture / runtime signals
amazon-ecs-agent,cloud_configuration,el2,el2,cloud,ECS agent control-plane/host orchestration logs
amazon-security-lake,security_telemetry,el2,el3,security,Security Lake is an aggregation layer; max tier depends on included sources :contentReference[oaicite:6]{index=6}
ambari,application_activity,el0,el1,application,Cluster management operational logs
android,endpoint_activity,el1,el2,endpoint,Endpoint/mobile device events; refine by auth/process fields
anecdote,application_activity,el0,el1,application,General SaaS activity; add discriminators for admin/auth when present
apache,web_access,el1,el2,application,HTTP access logs; refine by auth failures/admin endpoints
api-server,privileged_access,el3,el3,cloud,Kubernetes API server logs (control-plane)
apigateway,web_access,el2,el2,cloud,API Gateway access logs
apigee,web_access,el2,el2,application,API gateway traffic/access decisions (often supports EL2 web/API visibility)
appomni,security_telemetry,el2,el2,security,SaaS security posture / audit insights
appsync,web_access,el2,el2,cloud,GraphQL API access logs
aqua,security_telemetry,el2,el3,security,Container security/runtime detections; EL3 if full runtime telemetry enabled
arangodb,application_activity,el0,el1,application,Database operational logs; tier increases with audit/access logs
arctic-wolf-aurora-endpoint-security,endpoint_activity,el2,el3,endpoint,Endpoint security telemetry/detections
argo_rollouts,application_activity,el0,el1,application,Release events; not typically OMB-required unless tied to privileged actions
argo_workflows,application_activity,el0,el1,application,Workflow activity; not typically OMB-required unless tied to privileged actions
argocd,application_activity,el0,el1,application,Deployment/control-plane activity; add RBAC/admin change discriminators
asana,account_management,el1,el2,identity,SaaS audit/activity; refine by event type (login/admin) if present
atlassian-event-logs,account_management,el1,el2,identity,Org audit logs often include user/admin actions; refine by action field
auth0,authentication,el1,el3,identity,IdP authentication + admin events; EL3 if full admin/audit coverage is enabled
authorize-net,application_activity,el1,el2,application,Payment processing events; refine by auth/admin events
